"BehaviorSpace results (NetLogo 6.2.0)"
"main.0"
"Monitor: Number of Bubbles (For Calibrating With Literature)"
"05/12/2021 17:56:51:387 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","incoming-bubble-rate","increase-size-probability-if-collide","probability-of-collision","initial-bubble-number","[step]","count turtles"
"1","0","50","5","2000","0","2000"
"1","0","50","5","2000","1","1961"
"1","0","50","5","2000","2","1908"
"1","0","50","5","2000","3","1873"
"1","0","50","5","2000","4","1836"
"1","0","50","5","2000","5","1804"
"1","0","50","5","2000","6","1763"
"1","0","50","5","2000","7","1726"
"1","0","50","5","2000","8","1698"
"1","0","50","5","2000","9","1671"
"1","0","50","5","2000","10","1634"
"1","0","50","5","2000","11","1606"
"1","0","50","5","2000","12","1574"
"1","0","50","5","2000","13","1539"
"1","0","50","5","2000","14","1502"
"1","0","50","5","2000","15","1479"
"1","0","50","5","2000","16","1444"
"1","0","50","5","2000","17","1415"
"1","0","50","5","2000","18","1394"
"1","0","50","5","2000","19","1370"
"1","0","50","5","2000","20","1351"
"1","0","50","5","2000","21","1325"
"1","0","50","5","2000","22","1310"
"1","0","50","5","2000","23","1284"
"1","0","50","5","2000","24","1264"
"1","0","50","5","2000","25","1237"
"1","0","50","5","2000","26","1223"
"1","0","50","5","2000","27","1195"
"1","0","50","5","2000","28","1180"
"1","0","50","5","2000","29","1168"
"1","0","50","5","2000","30","1152"
"1","0","50","5","2000","31","1138"
"1","0","50","5","2000","32","1121"
"1","0","50","5","2000","33","1101"
"1","0","50","5","2000","34","1091"
"1","0","50","5","2000","35","1077"
"1","0","50","5","2000","36","1063"
"1","0","50","5","2000","37","1049"
"1","0","50","5","2000","38","1036"
"1","0","50","5","2000","39","1015"
"1","0","50","5","2000","40","1005"
"1","0","50","5","2000","41","985"
"1","0","50","5","2000","42","967"
"1","0","50","5","2000","43","955"
"1","0","50","5","2000","44","944"
"1","0","50","5","2000","45","935"
"1","0","50","5","2000","46","920"
"1","0","50","5","2000","47","910"
"1","0","50","5","2000","48","901"
"1","0","50","5","2000","49","884"
"1","0","50","5","2000","50","880"
"1","0","50","5","2000","51","875"
"1","0","50","5","2000","52","868"
"1","0","50","5","2000","53","860"
"1","0","50","5","2000","54","843"
"1","0","50","5","2000","55","834"
"1","0","50","5","2000","56","817"
"1","0","50","5","2000","57","803"
"1","0","50","5","2000","58","796"
"1","0","50","5","2000","59","788"
"1","0","50","5","2000","60","779"
"1","0","50","5","2000","61","770"
"1","0","50","5","2000","62","763"
"1","0","50","5","2000","63","756"
"1","0","50","5","2000","64","748"
"1","0","50","5","2000","65","741"
"1","0","50","5","2000","66","736"
"1","0","50","5","2000","67","728"
"1","0","50","5","2000","68","725"
"1","0","50","5","2000","69","711"
"1","0","50","5","2000","70","703"
"1","0","50","5","2000","71","694"
"1","0","50","5","2000","72","687"
"1","0","50","5","2000","73","680"
"1","0","50","5","2000","74","672"
"1","0","50","5","2000","75","669"
"1","0","50","5","2000","76","661"
"1","0","50","5","2000","77","656"
"1","0","50","5","2000","78","649"
"1","0","50","5","2000","79","642"
"1","0","50","5","2000","80","637"
"1","0","50","5","2000","81","627"
"1","0","50","5","2000","82","619"
"1","0","50","5","2000","83","609"
"1","0","50","5","2000","84","601"
"1","0","50","5","2000","85","595"
"1","0","50","5","2000","86","590"
"1","0","50","5","2000","87","584"
"1","0","50","5","2000","88","578"
"1","0","50","5","2000","89","573"
"1","0","50","5","2000","90","572"
"1","0","50","5","2000","91","569"
"1","0","50","5","2000","92","565"
"1","0","50","5","2000","93","560"
"1","0","50","5","2000","94","555"
"1","0","50","5","2000","95","545"
"1","0","50","5","2000","96","536"
"1","0","50","5","2000","97","529"
"1","0","50","5","2000","98","525"
"1","0","50","5","2000","99","518"
"1","0","50","5","2000","100","515"
"1","0","50","5","2000","101","511"
"1","0","50","5","2000","102","509"
"1","0","50","5","2000","103","505"
"1","0","50","5","2000","104","502"
"1","0","50","5","2000","105","501"
"1","0","50","5","2000","106","496"
"1","0","50","5","2000","107","490"
"1","0","50","5","2000","108","484"
"1","0","50","5","2000","109","481"
"1","0","50","5","2000","110","478"
"1","0","50","5","2000","111","475"
"1","0","50","5","2000","112","470"
"1","0","50","5","2000","113","470"
"1","0","50","5","2000","114","465"
"1","0","50","5","2000","115","464"
"1","0","50","5","2000","116","458"
